lab	url	taxa	award	notes	donors-array	lot_id	source	status	dbxrefs-array	accession	age_units	product_id	collections-array	date_obtained-date	disease_terms-array	biosample_term	lower_bound_age-number	starting_amount-number	upper_bound_age-number	submitter_comment	starting_amount_units	nih_institutional_certification
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM000ZZZ	year	GR000001	ENCODE	2/2/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1442
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM001ZZZ	year	GR000002	ENCODE	2/3/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1443
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM002ZZZ	year	GR000003	ENCODE	2/4/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1444
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM003ZZZ	year	GR000004	ENCODE	2/5/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1445
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM004ZZZ	year	GR000005	ENCODE	2/6/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1446
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM005ZZZ	year	GR000006	ENCODE	2/7/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1447
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM006ZZZ	year	GR000007	ENCODE	2/8/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1448
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM007ZZZ	year	GR000008	ENCODE	2/9/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1449
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM008ZZZ	year	GR000009	ENCODE	2/10/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1450
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM009ZZZ	year	GR000010	ENCODE	2/11/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1451
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM010ZZZ	year	GR000011	ENCODE	2/12/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1452
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM011ZZZ	year	GR000012	ENCODE	2/13/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1453
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM012ZZZ	year	GR000013	ENCODE	2/14/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1454
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM013ZZZ	year	GR000014	ENCODE	2/15/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1455
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM014ZZZ	year	GR000015	ENCODE	2/16/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1456
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM015ZZZ	year	GR000016	ENCODE	2/17/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1457
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM016ZZZ	year	GR000017	ENCODE	2/18/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1458
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM017ZZZ	year	GR000018	ENCODE	2/19/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1459
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM018ZZZ	year	GR000019	ENCODE	2/20/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1460
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM019ZZZ	year	GR000020	ENCODE	2/21/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1461
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM020ZZZ	year	GR000021	ENCODE	2/22/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1462
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM021ZZZ	year	GR000022	ENCODE	2/23/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1463
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM022ZZZ	year	GR000023	ENCODE	2/24/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1464
/labs/j-michael-cherry/	https://www.genome.gov/Funded-Programs-Projects/Impact-of-Genomic-Variation-on-Function-Consortium	Homo sapiens	/awards/HG012012/	This is a note.	/human-donors/IGVFDO645ZWY/	R00001	/labs/j-michael-cherry/	released	GEO:SAMN1	IGVFSM023ZZZ	year	GR000024	ENCODE	2/25/22	/phenotype-terms/DOID_7148/	/sample-terms/EFO_0002067	40	5	40	The submitter had very little to say.	mg	NICHD1465
